asset_ref_id,local_filename,original_filename,sha256,width_px,height_px,file_size_bytes,provider,creator,creation_date,subject,location,people_visible,allowed_research,allowed_style_reference,allowed_app_display,allowed_image_recognition,allowed_promotion,allowed_exact_reproduction,attribution_required,review_status,notes
USER-VIS-001,USER-VIS-001_current_entrance.jpg,6d7e3f423df289cfa6e4eff77c35859e.jpg,FAF9BF2EA3070B28F51C84FFCC421E89E045C7E6A97C1BED831A978128D3746A,1440,996,206588,项目负责人/用户,未知,未知,当前纪念馆入口,未知（用户未确认）,false,true,true,false,false,false,false,pending,OWNER_APPROVED_INTERNAL_ONLY,"只允许内部观察并抽象提取灰砖、石基、瓦檐、暗红木框和门洞纵深；排除原图发布、识图、触发卡、宣传、旗帜、栏杆、牌匾、楹联和精确立面"
USER-VIS-002,USER-VIS-002_relief_wall.jpg,微信图片_20260706194753_382_1.jpg,10E70E333120B07FEBB30B8560FE2E53EEB1CF252E185894BB7B1FA49197E5F4,5724,4032,9444854,项目负责人/用户,未知,未知,当前纪念馆浮雕墙,未知（用户未确认）,false,true,true,false,false,false,false,pending,OWNER_APPROVED_INTERNAL_ONLY,"只允许内部观察并抽象提取普通建筑材质与现代叙事层级；禁止原图发布、识图、触发卡、宣传以及复制人物、路线、文字、题字和完整浮雕构图"
USER-VIS-003,USER-VIS-003_radio_room_reference.png,codex-clipboard-87399bf3-e7cd-4a30-a8cf-2a320257b94a.png,B0E8397E3C7C141DFFD46BFBCBEDA61F043D75A805424D9D5EC24788A167FA30,519,815,458873,项目负责人/用户,未知,未知,电台与地下工作场景参考,未知,false,true,true,false,false,false,false,pending,OWNER_APPROVED_INTERNAL_ONLY,"只允许内部观察并抽象提取箱式电台面板层级、发报键、线缆、木桌、煤油灯和小室氛围；禁止原图发布、识图、触发卡、宣传、品牌/仪表/文字复制和现馆陈设布局复刻"
USER-VIS-004,USER-VIS-004_gate_stair_overview.png,01_门楼全景_台阶视角.png,2376C762482427B3A37421FAAA9404EA1006AD20B3B98F3122FB70838379AF77,601,386,435360,项目负责人/用户,未知,未知,门楼全景与台阶视角,未知,false,true,true,false,false,false,false,pending,OWNER_APPROVED_INTERNAL_ONLY,"只允许内部观察并提取门楼比例、石阶、石基、灰砖、旧木、瓦檐与可拆分部件关系；禁止原图发布、识图、触发卡、宣传、人物/路牌/文字/水印复制和精确立面复刻"
USER-VIS-005,USER-VIS-005_gate_plaque_closeup.png,02_匾额特写.png,BA7A71B5023DEF55CDAD3D0425275E77C974A52DF86A31B7BB53D11BC1D8DF7B,1030,642,830802,项目负责人/用户,未知,未知,门楼匾额与瓦檐特写,未知,false,true,true,false,false,false,false,pending,OWNER_APPROVED_INTERNAL_ONLY,"只允许内部观察并提取瓦檐分层、匾额位置、暗红木材与旗帜色彩关系；禁止原图发布、识图、触发卡、宣传、可读文字/书法轮廓/旗帜构图复制和精确复刻"
USER-VIS-006,USER-VIS-006_gate_front_flags.png,03_门楼正面_红旗.png,DE8D8B6AA163378D2E6813ADEA2E4CF9379203859DA15DC4F83CF6F13B256BBD,572,432,477972,项目负责人/用户,未知,未知,门楼正面与旗帜,未知,false,true,true,false,false,false,false,pending,OWNER_APPROVED_INTERNAL_ONLY,"只允许内部观察并提取正面门洞比例、台阶/栏杆可拆分关系和旗帜作为可关闭装饰的布置逻辑；禁止原图发布、识图、触发卡、宣传、人物/文字/书法/旗帜摄影构图复制和精确复刻"
USER-VIS-007,USER-VIS-007_gate_front_full.png,04_门楼正面_全身.png,9736D5BA6B16924D771CF6F70C9655A4799641D923FBE0D70352FEE45D91B7D0,270,360,219004,项目负责人/用户,未知,未知,门楼正面全身与右侧廊房,未知,false,true,true,false,false,false,false,pending,OWNER_APPROVED_INTERNAL_ONLY,"只允许内部观察并提取门楼正面比例、右侧廊房、树木接口与旧木/灰砖层次；禁止原图发布、识图、触发卡、宣传、可读文字/人物/现状物复制和精确复刻"
USER-SRC-008,source_folder_20260727/平西情报联络站2.jpg,平西情报联络站2.jpg,3FC2D98E8C097CACF6E0B731B98F668ED41FB1C9649993C46E2580645DDCC6DC,1080,1080,268186,项目负责人/用户,未知,未知,平西情报联络站桌面资料主图,未知,false,true,true,false,false,false,false,pending,LOCAL_REFERENCE_ONLY,"2026-07-27 桌面资料包导入；只允许内部观察普通建筑与展陈高层特征，不能作为 App/纹理/识图/宣传或精确复刻依据"
USER-SRC-009,source_folder_20260727/trigger_hand_drawn.jpg,平息西情报联络站.jpg,A71D173292F571B254228FC6D86E8C0C9938B84C3EFC0CFDD0A2EC91DBFCB74D,1080,1080,705778,项目负责人/用户,未知,未知,S1手绘触发图,未知,false,true,false,false,false,false,false,pending,LOCAL_REFERENCE_ONLY,"2026-07-27 桌面资料包导入；为明确用途重命名为 trigger_hand_drawn.jpg。不得作为建筑照片、建模贴图或精确复刻依据"
USER-SRC-010,source_folder_20260727/平西情报联络站建模参考素材/69e9b8c3d5de886d89e76e62.jpg,69e9b8c3d5de886d89e76e62.jpg,7660F75F5CE13F3949CF876C516EA73CCAC173ABBFA7B8AA87CB69930A727356,640,480,70596,项目负责人/用户,未知,未知,平西情报联络站补充参考图,未知,false,true,true,false,false,false,false,pending,LOCAL_REFERENCE_ONLY,"2026-07-27 桌面资料包导入；只允许内部高层形态参考，不得作为已核验史实、App 内容或精确复刻依据"
USER-SRC-011,source_folder_20260727/平西情报联络站建模参考素材/69e9b8c5d5de886d89e76e65.jpg,69e9b8c5d5de886d89e76e65.jpg,63F84113719EDDA955C6AB1F6D5F363CB7465ABB06EFFE222241CD8FC007CAE6,640,427,51350,项目负责人/用户,未知,未知,平西情报联络站补充参考图,未知,false,true,true,false,false,false,false,pending,LOCAL_REFERENCE_ONLY,"2026-07-27 桌面资料包导入；只允许内部高层形态参考，不得作为已核验史实、App 内容或精确复刻依据"
USER-SRC-012,source_folder_20260727/平西情报联络站建模参考素材/W020210201589175363289.jpg,W020210201589175363289.jpg,3239B38E7B9AEEC234E59891805CD9A3CCDFF7E4B00F025744A120D90E769BFB,380,380,66566,项目负责人/用户,未知,未知,平西情报联络站补充参考图,未知,false,true,true,false,false,false,false,pending,LOCAL_REFERENCE_ONLY,"2026-07-27 桌面资料包导入；只允许内部高层形态参考，不得作为已核验史实、App 内容或精确复刻依据"
USER-SRC-013,source_folder_20260727/平西情报联络站建模参考素材/W020210201589175571155.jpg,W020210201589175571155.jpg,73C7992A657935D71365893663B7CF63592224BDBA92500EA20BF88E114594FE,380,380,67834,项目负责人/用户,未知,未知,平西情报联络站补充参考图,未知,false,true,true,false,false,false,false,pending,LOCAL_REFERENCE_ONLY,"2026-07-27 桌面资料包导入；只允许内部高层形态参考，不得作为已核验史实、App 内容或精确复刻依据"
USER-SRC-014,source_folder_20260727/平西情报联络站文字素材.docx,平西情报联络站文字素材.docx,07B3A4D0EADD8766D0552E67A5A0BA7C0CC66F464723BFB599536E6F918B3CCC,,,15331,项目负责人/用户,未知,未知,平西情报联络站长短版叙事文字,未知,false,true,false,false,false,false,false,pending,LOCAL_REFERENCE_ONLY,"已结构化读取；不含可执行尺寸、型号、授权或技术规格。仅作为未核验叙事输入，不能覆盖研究包结论"
