item_id,path,item_type,required_for_current_round,canonical,status,purpose
ENTRY,modeling_input/S1/00_START_HERE.md,handoff,true,true,M3D_01R_COMPACT_CELLAR_REVIEW,"用户与模型唯一入口"
OWNER_REVIEW,modeling_input/S1/01_OWNER_REVIEW.md,review,true,true,OWNER_APPROVED_INTERNAL_ONLY,"图片权利、识图和三图闸门确认"
MODEL_HANDOFF,modeling_input/S1/02_MODELING_HANDOFF.md,handoff,true,true,M3D_01R_READY,"建模任务边界、输出和完整提示词"
MATERIAL_GUIDE,modeling_input/S1/03_MATERIALS_GUIDE.md,guide,true,true,SEVEN_LOCAL_REFERENCES,"七张用户图片的用途和禁用规则"
COMPACT_CELLAR_REVISION,modeling_input/S1/04_COMPACT_CELLAR_REVISION.md,revision,true,true,USER_APPROVED,"S1 小室尺度、电台审核级优化和本轮验收"
SOURCE_FOLDER_IMPORT,modeling_input/S1/05_SOURCE_FOLDER_IMPORT.md,source_register,false,true,LOCAL_REFERENCE_ONLY,"2026-07-27 桌面资料包平西子目录的原样归档与使用边界"
MATERIAL_MANIFEST,modeling_input/S1/material_manifest.csv,manifest,true,true,OWNER_APPROVED_INTERNAL_ONLY,"用户原图文件元数据、哈希和权限状态"
USER_VIS_001,modeling_input/S1/local_reference/USER-VIS-001_current_entrance.jpg,local_image,true,true,LOCAL_ONLY_GIT_IGNORED,"当前入口材料和门洞关系参考"
USER_VIS_002,modeling_input/S1/local_reference/USER-VIS-002_relief_wall.jpg,local_image,true,true,LOCAL_ONLY_GIT_IGNORED,"当前浮雕墙周边材质与叙事层级参考"
USER_VIS_003,modeling_input/S1/local_reference/USER-VIS-003_radio_room_reference.png,local_image,true,true,LOCAL_ONLY_GIT_IGNORED,"用户提供的电台、发报键、线缆与地下工作氛围参考"
USER_VIS_004,modeling_input/S1/local_reference/USER-VIS-004_gate_stair_overview.png,local_image,true,true,LOCAL_ONLY_GIT_IGNORED,"门楼全景、台阶、石基与灰砖参考"
USER_VIS_005,modeling_input/S1/local_reference/USER-VIS-005_gate_plaque_closeup.png,local_image,true,true,LOCAL_ONLY_GIT_IGNORED,"门楼瓦檐、匾额位置与旧木层次参考"
USER_VIS_006,modeling_input/S1/local_reference/USER-VIS-006_gate_front_flags.png,local_image,true,true,LOCAL_ONLY_GIT_IGNORED,"门楼正面、门洞、栏杆与可关闭旗帜装饰参考"
USER_VIS_007,modeling_input/S1/local_reference/USER-VIS-007_gate_front_full.png,local_image,true,true,LOCAL_ONLY_GIT_IGNORED,"门楼正面、右侧廊房和树木接口参考"
